,Local authority,Region,Estimated jobs,Estimated jobs - local authority and independent sectors only,Estimated jobs - Direct payment recipients only,Estimated jobs - Local authority sector - Percentage,Jobs - local authority sector,Estimated jobs - Independent sector - Percentage,Total CQC regulated establishments,Estimated managerial jobs CSSR,Estimated regulated professionals jobs CSSR,Estimated direct care jobs CSSR,Estimated Other jobs CSSR,Percentage jobs full time (CSSR),Percentage jobs part time (CSSR),Percentage no fixed hours (CSSR),Percentage jobs on zero hours (CSSR),Percentage jobs zero hours (region),Average days sickness (CSSR),Average days sickness (region),Estimate whole sector number of sickness days lost for CSSR,Starters rate (CSSR),Starters rate (region),Proportion recruited from within ASC,Turnover rate (CSSR),Estimated total leavers,Turnover - (region),Exp in Sector - Average - (CSSR),Percentage in ASC 3 yrs or more,Vacancy rate - CSSR,Estimated total vacancies,Vacancy rate - (region),Gender (percentage female),Average age - CSSR,Percentage aged 24 or under - CSSR,Percentage aged 55 or over - CSSR,Nationality - British -CSSR,Nationality - EEA - CSSR,Nationality - non-EEA - CSSR,Nationality - British - Region,Qual - Percentage with - CSSR,Qual - Percentage with - Region,Care Certificate - Percentage,Senior care worker - Average hourly rate (Local authority),Senior care worker - Average hourly rate (Region),Care worker - Average hourly rate (Local authority),Care worker - Average hourly rate (Region),Support and outreach - Average hourly rate (Local authority),Support and outreach - Average hourly rate (Region),E-code,ONS Code,Local Authority (original names),Class,"Employees
78,Richmond upon Thames,London,4000,3500,500,8%,300,80%,65,300,175,3100,400,0.471755153,0.451044527,0.07720032,0.349488133,0.390614868,3.633286921,4.121498218,11500,0.458966429,0.388760758,0.654405064,0.247070864,750,0.272251122,7.960292344,0.744523718,0.12552043,450,0.104663279,0.806629052,45.17022412,0.067322808,0.263392449,0.589657074,0.213530038,0.196812888,0.605826199,0.296738268,0.527171039,0.084299505,9.685064781,9.568243972,9.065832696,8.683570288,10.90695849,9.985444853,E5047,E09000027,Richmond upon Thames,L,15199,69289,84488,8028,8643,16671,67817
79,Rochdale,North West,5300,4700,600,6%,338,83%,91,425,200,4100,550,0.535310392,0.362090873,0.102598735,0.177983762,0.214671787,5.495494897,5.507111486,25000,0.418996663,0.341105224,0.718182719,0.33021782,1500,0.301673567,9.167652457,0.78819454,0.036396433,175,0.070555475,0.841549422,43.43276012,0.089167827,0.238003527,0.937559132,0.018041329,0.044401646,0.927907989,0.635877845,0.574447303,0.090387861,8.28422064,8.625317525,7.934339655,7.96388592,8.110423962,8.843358886,E4205,E08000005,Rochdale,MD,9033,68784,77817,11540,13154,24694,53123
80,Rotherham,Yorkshire and the Humber,7600,6900,750,11%,841,79%,131,500,300,6000,750,0.568554126,0.370234674,0.0612112,0.269266348,0.196084667,3.486956131,6.029229693,23500,0.364005962,0.366197886,0.710051672,0.271680985,1800,0.311660638,8.795471729,0.766228223,0.035893577,250,0.055513416,0.869390467,43.59699931,0.104696238,0.250539375,0.968952994,0.012084033,0.018962973,0.925473709,0.561063337,0.57061915,0.143472947,8.641208961,8.783693196,8.021329358,7.992481685,9.580230465,9.278567484,E4403,E08000018,Rotherham,MD,23591,80659,104250,15745,10590,26335,77915
81,Rutland,East Midlands,1200,1100,100,8%,99,84%,23,100,25,900,125,0.557236567,0.391951617,0.050802512,0.086327053,0.234626854,2.027853307,5.712761409,2100,0.502012855,0.389672769,0.555831589,0.303455962,325,0.330925924,9.575017446,0.703093743,0.109969985,125,0.079713595,0.876957432,41.97074669,0.090216329,0.206057223,0.897362177,0.051165387,0.051463131,0.889602587,0.403228658,0.512233396,0.14605257,9.737764903,8.713392369,8.579695646,8.06466467,8.667294118,9.356293948,E2402,E06000017,Rutland UA,UA,4075,9454,13529,1373,1386,2759,10770
82,Salford,North West,5500,4900,600,2%,115,87%,75,400,175,4400,500,0.574112761,0.306184973,0.11970021,0.273261504,0.214671787,3.198918655,5.507111486,14500,0.266782557,0.341105224,0.623162808,0.242242977,1100,0.301673567,8.273092898,0.730190813,0.040366111,200,0.070555475,0.881171608,44.40901633,0.068242382,0.278200436,0.88927088,0.042523749,0.068205371,0.927907989,0.536554674,0.574447303,0.059840852,8.377500895,8.625317525,7.80556098,7.96388592,9.032336383,8.843358886,E4206,E08000006,Salford,MD,17199,73052,90251,14876,25411,40287,49964
83,Sandwell,West Midlands,10500,9200,1200,7%,696,82%,169,800,350,8300,900,0.599139109,0.296165928,0.104694963,0.213051402,0.228483853,7.277260511,4.929270438,62000,0.274966581,0.356604118,0.785630817,0.212292207,1800,0.295452131,8.90350907,0.730603337,0.048169629,425,0.066944312,0.812316693,42.80383067,0.075342804,0.20833219,0.853941436,0.02686692,0.119192742,0.871078776,0.512070144,0.572395799,0.105468514,8.369937521,8.844568308,7.70990135,8.011474827,9.99456025,9.473416934,E4604,E08000028,Sandwell,MD,25735,90881,116616,17090,8526,25616,91000
84,Sefton,North West,9900,8900,1100,4%,352,86%,172,800,475,7400,1200,0.538182835,0.349102781,0.112715512,0.209802113,0.214671787,5.436774776,5.507111486,45000,0.376824895,0.341105224,0.795766757,0.286642001,2400,0.301673567,9.200427473,0.727615734,0.081413949,750,0.070555475,0.806640709,44.11446283,0.097961388,0.279966497,0.932204078,0.046147221,0.021648701,0.927907989,0.539799385,0.574447303,0.091711627,8.378727449,8.625317525,7.798044837,7.96388592,8.26443738,8.843358886,E4304,E08000014,Sefton,MD,11861,115343,127204,18397,14341,32738,94466
85,Sheffield,Yorkshire and the Humber,15500,14000,1500,8%,1180,82%,213,1100,750,11500,1900,0.485278994,0.414309559,0.100410723,0.285574407,0.196084667,4.975036835,6.029229693,65000,0.434166739,0.366197886,0.67064706,0.356540791,4700,0.311660638,8.730949446,0.705123271,0.039879952,550,0.055513416,0.811641565,42.15465917,0.110074701,0.212939469,0.902005634,0.029702202,0.068292163,0.925473709,0.494561747,0.57061915,0.099841784,8.519419593,8.783693196,8.095195393,7.992481685,9.591565278,9.278567484,E4404,E08000019,Sheffield,MD,34501,163072,197573,26036,33060,59096,138477
86,Shropshire,West Midlands,10000,9400,700,5%,546,87%,195,800,550,7400,1400,0.481825691,0.455741971,0.062432339,0.200302826,0.228483853,4.396443833,4.929270438,40000,0.338436452,0.356604118,0.633359382,0.298860585,2700,0.295452131,9.643764241,0.74467961,0.05620221,550,0.066944312,0.826569768,42.85357172,0.121241585,0.252062045,0.924506715,0.04152189,0.033972455,0.871078776,0.577723655,0.572395799,0.135431765,8.588973348,8.844568308,7.908449131,8.011474827,8.753080921,9.473416934,E3202,E06000051,Shropshire UA,UA,14235.99927,114895.739,129131.7383,18047.78321,15262.25576,33310.03897,95821.69931
87,Slough,South East,2700,2500,275,10%,259,80%,48,275,125,2100,250,0.564389247,0.305138712,0.130476102,0.298165529,0.225662962,8.599102015,4.800241288,20500,0.383207352,0.380447713,0.736001852,0.165643682,400,0.302660805,8.885208485,0.798654911,0.185741769,550,0.086517489,0.823834723,45.2553436,0.052260294,0.239504689,0.630088251,0.183276543,0.186635205,0.771298639,0.526509875,0.493063744,0.16637764,9.234533703,9.219536233,8.513142362,8.374979322,9.01607488,9.687891049,E0304,E06000039,Slough UA,UA,8393.231666,38925.47201,47318.70368,3431.322724,6511.189726,9942.51245,37376.19123
88,Solihull,West Midlands,6000,5400,650,11%,674,78%,106,500,300,4500,700,0.47068601,0.445589779,0.08372235,0.207282616,0.228483853,7.391422509,4.929270438,36000,0.237563437,0.356604118,0.620302949,0.203005255,1000,0.295452131,7.873686836,0.728261598,0.06159937,325,0.066944312,0.842848421,42.83574561,0.100167147,0.23615175,0.888864071,0.043774616,0.067361313,0.871078776,0.608139197,0.572395799,0.121483028,8.713006863,8.844568308,8.205278436,8.011474827,9.63533363,9.473416934,E4605,E08000029,Solihull,MD,21367,65400.33219,86767.33219,2179.42619,26481.31705,28660.74324,58106.58895
89,South Gloucestershire,South West,7000,6100,850,8%,575,79%,126,650,300,5200,800,0.459896971,0.415904624,0.124200039,0.174255507,0.18549455,5.055363262,5.168787304,29000,0.416293748,0.399634242,0.704454295,0.276120232,1600,0.33125035,9.101040583,0.740478482,0.104439978,650,0.074857429,0.816366343,42.37694282,0.119976604,0.230622438,0.864145894,0.080233833,0.055620273,0.84586414,0.533263841,0.527590602,0.108864966,9.293467764,8.98543731,8.227062272,8.153112596,9.525136399,8.978998695,E0103,E06000025,South Gloucestershire UA,UA,13084,104293,117377,15603,14592,30195,87182
90,South Tyneside,North East,4500,3600,900,8%,354,72%,50,225,175,3700,425,0.537641376,0.367967267,0.094394187,0.40783416,0.265734674,4.332600146,5.783992399,14000,0.290445513,0.327421339,0.607117693,0.19557647,650,0.270785038,6.326920411,0.722711594,0.069838711,250,0.071449654,0.862940399,43.36183542,0.096157057,0.240879341,0.979552972,0.010503649,0.009946208,0.958808622,0.648201335,0.611708381,0.210729455,8.734999437,8.558657559,7.850895133,7.887192607,9.042542108,9.235702254,E4504,E08000023,South Tyneside,MD,10595,72721,83316,10862,25192,36054,47262
91,Southampton,South East,5700,5200,500,7%,423,84%,98,475,200,4400,600,0.457222749,0.351234457,0.191542795,0.31179889,0.225662962,7.083671788,4.800241288,36000,0.465754987,0.380447713,0.661362989,0.342357687,1700,0.302660805,7.75913901,0.789025243,0.078114886,425,0.086517489,0.826451342,41.82912353,0.103316107,0.190201858,0.801140184,0.082789304,0.116070512,0.771298639,0.458367971,0.493063744,0.193116264,9.255085735,9.219536233,8.495767379,8.374979322,8.697288788,9.687891049,E1702,E06000045,Southampton UA,UA,14537,78685,93222,12017,14965,26982,66240
92,Southend on Sea,Eastern,6500,5800,750,4%,239,85%,149,500,175,5100,700,0.554263804,0.268459147,0.177277048,0.362563502,0.261152713,6.273812518,4.934628776,33000,0.417205678,0.389379679,0.637295921,0.361879324,1900,0.339015306,8.135014172,0.746582648,0.079326732,450,0.096876067,0.834918052,43.76247142,0.095243032,0.251568757,0.824908932,0.055772377,0.119318691,0.816081532,0.519609686,0.476663883,0.108905411,8.824806138,8.964711058,7.823391621,8.184630706,8.41302358,8.946562533,E1501,E06000033,Southend on Sea UA,UA,10984,58187,69171,10485,19174,29659,39512
93,Southwark,London,6200,5500,650,6%,366,83%,48,500,250,4900,500,0.51882267,0.403384418,0.077792912,0.50916914,0.390614868,2.231951903,4.121498218,10500,0.304197779,0.388760758,0.715764787,0.254226663,1200,0.272251122,7.299775394,0.828462669,0.05377254,275,0.104663279,0.803465601,45.60857651,0.042543365,0.23836516,0.654280586,0.071449834,0.274271385,0.605826199,0.465012944,0.527171039,0.311812089,10.13463761,9.568243972,8.917178501,8.683570288,10.28168809,9.985444853,E5019,E09000028,Southwark,L,17211,97336,114547,8972,27305,36277,78270
94,St Helens,North West,5300,4300,1000,12%,642,68%,71,375,175,4100,650,0.504020685,0.396779688,0.099199627,0.137566698,0.214671787,3.850243833,5.507111486,15500,0.344751457,0.341105224,0.66268833,0.234096886,950,0.301673567,10.13469646,0.847766861,0.05329918,225,0.070555475,0.841280596,45.1585853,0.079867875,0.279833997,0.986060529,0.007335573,0.006606251,0.927907989,0.612125105,0.574447303,0.099768969,8.919890475,8.625317525,8.152053449,7.96388592,8.159262673,8.843358886,E4303,E08000013,St Helens,MD,22326,61252,83578,14815,17631,32446,51132
95,Stockport,North West,7000,6100,850,9%,642,79%,107,500,375,5300,750,0.452647147,0.490976376,0.056376477,0.264058285,0.214671787,6.103603823,5.507111486,35000,0.324756531,0.341105224,0.65329574,0.359720994,2100,0.301673567,8.463482011,0.739863896,0.077937229,475,0.070555475,0.801064918,43.29690819,0.091783615,0.236467821,0.890077922,0.041560794,0.068362913,0.927907989,0.542709107,0.574447303,0.114676583,8.700586265,8.625317525,8.171447854,7.96388592,9.346255975,8.843358886,E4207,E08000007,Stockport,MD,28038,102361,130399,16772,31862,48634,81765
96,Stockton on Tees,North East,5900,5000,900,10%,619,74%,77,350,250,4600,750,0.558056994,0.398917776,0.043027212,0.230138084,0.265734674,4.83352381,5.783992399,23500,0.298351251,0.327421339,0.780136894,0.196497574,950,0.270785038,8.487639095,0.76024127,0.049451405,250,0.071449654,0.846279832,42.93204278,0.093904412,0.238666196,0.956703124,0.011793818,0.031503058,0.958808622,0.596020082,0.611708381,0.078993599,8.415563552,8.558657559,7.901587427,7.887192607,9.226838855,9.235702254,E0704,E06000004,Stockton on Tees UA,UA,14864,69902,84766,13786,19841,33627,51139
97,Stoke on Trent,West Midlands,8800,7500,1200,9%,830,77%,141,900,300,6700,900,0.604193997,0.349410985,0.046393692,0.203475783,0.228483853,7.384032278,4.929270438,53000,0.366085863,0.356604118,0.782929835,0.258336903,1900,0.295452131,7.855148744,0.686807129,0.048096944,375,0.066944312,0.845366726,42.42423243,0.111492745,0.226165772,0.94202743,0.015338236,0.042634334,0.871078776,0.528125621,0.572395799,0.136749487,8.635064039,8.844568308,7.860780263,8.011474827,9.902756091,9.473416934,E3401,E06000021,Stoke on Trent UA,UA,22901,92624,115525,15054,15340,30394,85131
98,Sunderland,North East,6800,6300,450,4%,278,89%,134,475,300,5200,800,0.597948266,0.30034596,0.101705774,0.266699768,0.265734674,4.785293957,5.783992399,28000,0.267551405,0.327421339,0.813783935,0.247260793,1400,0.270785038,9.263020742,0.742110995,0.041303708,250,0.071449654,0.817227517,43.32117242,0.09171138,0.235252663,0.977523825,0.009670858,0.012805318,0.958808622,0.644337311,0.611708381,0.071703372,8.187990464,8.558657559,7.676122042,7.887192607,8.353110945,9.235702254,E4505,E08000024,Sunderland,MD,13149,97376,110525,19307,14002,33309,77216
99,Sutton,London,5600,5000,600,5%,275,84%,126,475,300,4400,475,0.535914775,0.292064372,0.172020853,0.37207788,0.390614868,1.469925935,4.121498218,7000,0.337398477,0.388760758,0.668546665,0.236451626,1100,0.272251122,8.268507434,0.688053079,0.047876624,250,0.104663279,0.807473751,45.4080331,0.06879823,0.27079053,0.671031984,0.143171744,0.185796273,0.605826199,0.572638442,0.527171039,0.246145633,9.391840727,9.568243972,8.866902751,8.683570288,9.421826244,9.985444853,E5048,E09000029,Sutton,L,11241,56519,67760,7943,3084,11027,56733
100,Swindon,South West,5000,4400,600,7%,374,81%,92,375,225,3800,550,0.444723681,0.342208026,0.213068293,0.323517744,0.18549455,4.649307,5.168787304,18500,0.434251603,0.399634242,0.680279471,0.304850126,1200,0.33125035,7.535788071,0.727024666,0.069530605,300,0.074857429,0.883831794,41.5951081,0.088390746,0.19838389,0.781467477,0.111946784,0.106585739,0.84586414,0.42872768,0.527590602,0.133771603,8.853616717,8.98543731,8.450640728,8.153112596,9.146487417,8.978998695,E3901,E06000030,Swindon UA,UA,14720,73735,88455,9064,13526,22590,65865
101,Tameside,North West,4500,4000,400,14%,621,77%,64,425,175,3300,600,0.587732744,0.391331005,0.020936251,0.257564641,0.214671787,2.902374763,5.507111486,10500,0.266792465,0.341105224,0.618777797,0.253347073,950,0.301673567,9.14354097,0.702914793,0.059498633,225,0.070555475,0.862944443,43.10308315,0.095135312,0.226956806,0.907879991,0.037922456,0.054197553,0.927907989,0.606560796,0.574447303,0.094137749,8.920838283,8.625317525,7.892420845,7.96388592,10.57168076,8.843358886,E4208,E08000008,Tameside,MD,24058,69716,93774,14902,19734,34636,59138
102,Thurrock,Eastern,3200,2800,425,14%,436,73%,65,275,75,2600,300,0.551229166,0.392274321,0.056496513,0.34757027,0.261152713,3.953229695,4.934628776,9500,0.436157764,0.389379679,0.691708326,0.411925158,1000,0.339015306,7.247012802,0.73544951,0.061603392,150,0.096876067,0.882256592,43.17585654,0.077739997,0.201647889,0.806435223,0.040500833,0.153067497,0.816081532,0.489339174,0.476663883,0.063574121,8.346153846,8.964711058,8.035390001,8.184630706,9.964858569,8.946562533,E1502,E06000034,Thurrock UA,UA,13058,54631,67689,5490,24601,30091,37598
103,Torbay,South West,5000,4700,300,0%,18,93%,119,375,150,3700,700,0.4919134,0.322182781,0.185903819,0.305091039,0.18549455,4.514844285,5.168787304,20000,0.371549922,0.399634242,0.605308227,0.243121036,1100,0.33125035,9.19601207,0.695314579,0.034459363,150,0.074857429,0.823034793,42.96245783,0.111946192,0.2517169,0.89150907,0.07110328,0.03738765,0.84586414,0.467576338,0.527590602,0.095689293,8.635896446,8.98543731,7.879585914,8.153112596,8.18840135,8.978998695,E1102,E06000027,Torbay UA,UA,623,45716,46339,0,8462,8462,37877
104,Tower Hamlets,London,8300,7400,950,5%,405,84%,59,700,225,6800,600,0.454693112,0.295442806,0.249865439,0.537878552,0.390614868,2.825138909,4.121498218,19500,0.363248401,0.388760758,0.61634451,0.213937161,1500,0.272251122,7.146659147,0.870555234,0.076075205,550,0.104663279,0.729029083,43.68099097,0.043528779,0.163095307,0.717065651,0.042587865,0.240346484,0.605826199,0.561657635,0.527171039,0.216787038,9.308220575,9.568243972,9.26726117,8.683570288,10.60353146,9.985444853,E5020,E09000030,Tower Hamlets,L,19072,101476,120548,5013.88252,12614.38057,17628.26309,102919.7369
105,Trafford,North West,5400,5200,225,7%,383,89%,100,400,275,4100,650,0.572028411,0.31621279,0.11175686,0.352327799,0.214671787,4.606940601,5.507111486,22000,0.444442798,0.341105224,0.62539837,0.445217645,2100,0.301673567,7.625462342,0.739274055,0.078184827,400,0.070555475,0.812486915,42.40447066,0.095184278,0.199386646,0.839533432,0.058553616,0.101912952,0.927907989,0.543469832,0.574447303,0.171799276,8.780963489,8.625317525,7.964388987,7.96388592,9.552708782,8.843358886,E4209,E08000009,Trafford,MD,11930,66828,78758,10576,16990,27566,51192
106,Wakefield,Yorkshire and the Humber,8400,7600,800,11%,928,79%,147,800,350,6500,850,0.586843911,0.350242776,0.062913313,0.163343449,0.196084667,6.693187082,6.029229693,48000,0.360547701,0.366197886,0.725856973,0.327041252,2300,0.311660638,6.802549149,0.651579364,0.077474017,600,0.055513416,0.830804856,42.99301227,0.097130228,0.238357303,0.926759467,0.042933105,0.030307428,0.925473709,0.506198707,0.57061915,0.105352949,8.508911014,8.783693196,7.766219485,7.992481685,9.080629142,9.278567484,E4705,E08000036,Wakefield,MD,25825,97319,123144,618,44267,44885,78259
107,Walsall,West Midlands,6600,5800,850,8%,546,79%,107,450,275,5100,700,0.54027457,0.398814246,0.060912939,0.159516923,0.228483853,3.936971514,4.929270438,21000,0.217968516,0.356604118,0.80110537,0.166493628,900,0.295452131,8.578585169,0.755732198,0.09699823,550,0.066944312,0.87239278,42.96189826,0.092855989,0.215734936,0.908646387,0.01667357,0.074678288,0.871078776,0.592608519,0.572395799,0.100776813,8.378748538,8.844568308,7.594381712,8.011474827,9.901781079,9.473416934,E4606,E08000030,Walsall,MD,17677,82507,100184,11608,13520,25128,75056
108,Waltham Forest,London,5700,4500,1200,7%,425,71%,98,400,175,4700,425,0.543893576,0.342968673,0.113137752,0.21309373,0.390614868,3.492742058,4.121498218,14500,0.318544204,0.388760758,0.612917644,0.235375906,950,0.272251122,6.986795767,0.671360806,0.07467332,325,0.104663279,0.824627838,44.75509393,0.064037948,0.211952762,0.660514873,0.092274659,0.247212714,0.605826199,0.632646507,0.527171039,0.106123494,9.823538961,9.568243972,8.326841524,8.683570288,9.581020133,9.985444853,E5049,E09000031,Waltham Forest,L,14009,73353,87362,7950,8304,16254,71108
109,Wandsworth,London,6600,5800,850,6%,402,81%,63,475,375,5100,700,0.614009923,0.312184271,0.073805807,0.29211651,0.390614868,9.290833076,4.121498218,47000,0.536812381,0.388760758,0.803721114,0.339532424,1700,0.272251122,8.331253506,0.784266361,0.044716338,225,0.104663279,0.795258827,44.93781182,0.104633333,0.274879352,0.620310185,0.130030616,0.249659199,0.605826199,0.462522293,0.527171039,0.187998937,9.831985043,9.568243972,8.93485792,8.683570288,10.23951144,9.985444853,E5021,E09000032,Wandsworth,L,16255,104066,120321,48,26857,26905,93416
110,Warrington,North West,5900,5600,375,8%,470,86%,84,450,350,4400,700,0.523498929,0.377825667,0.098675404,0.18804885,0.214671787,7.52354177,5.507111486,39000,0.265277513,0.341105224,0.586755475,0.28757019,1500,0.301673567,8.265330108,0.735165135,0.054814205,300,0.070555475,0.803291573,43.12729364,0.093638638,0.242667351,0.92994642,0.030374913,0.039676872,0.927907989,0.489983887,0.574447303,0.094699104,8.657019454,8.625317525,7.829017249,7.96388592,10.27491103,8.843358886,E0602,E06000007,Warrington UA,UA,15251.786,81696.126,96947.912,14579,19635.694,34214.694,62733.218
111,West Berkshire,South East,3400,3200,200,15%,497,79%,76,325,175,2500,325,0.566188574,0.208803196,0.22500823,0.252267285,0.225662962,5.411064199,4.800241288,16000,0.43949066,0.380447713,0.53867455,0.349689575,1000,0.302660805,7.056848329,0.705617702,0.135079412,475,0.086517489,0.816829223,41.85188903,0.126622601,0.216116601,0.795999251,0.124147146,0.079850375,0.771298639,0.475613377,0.493063744,0.213886432,9.456572077,9.219536233,8.391031769,8.374979322,10.81133227,9.687891049,E0302,E06000037,West Berkshire UA,UA,14650,50164,64814,8699,12793,21492,43322
112,Westminster,London,6500,5800,750,5%,303,84%,37,650,150,5200,550,0.544991716,0.348906672,0.106101613,0.308915756,0.390614868,3.795352407,4.121498218,21000,0.487093796,0.388760758,0.769644894,0.249581362,1400,0.272251122,7.248190404,0.608490607,0.078565482,475,0.104663279,0.7707753,44.00792145,0.059536447,0.218417879,0.657020648,0.130196298,0.212783053,0.605826199,0.518880537,0.527171039,0.218896194,10.38194276,9.568243972,9.568624568,8.683570288,10.48359597,9.985444853,E5022,E09000033,Westminster,L,11885,103554,115439,7432,36741,44173,71266
113,Wigan,North West,8000,6500,1400,14%,1126,68%,85,800,375,6000,850,0.509042632,0.433581938,0.05737543,0.180679841,0.214671787,5.519368565,5.507111486,34000,0.37632678,0.341105224,0.695478838,0.260790377,1600,0.301673567,8.162387835,0.71089189,0.074831079,500,0.070555475,0.854859663,43.52103519,0.087646108,0.24080154,0.955374665,0.017667152,0.026958183,0.927907989,0.638506091,0.574447303,0.177097348,8.279298504,8.625317525,7.958445623,7.96388592,8.184722841,8.843358886,E4210,E08000010,Wigan,MD,26687,94487,121174,17508,24337,41845,79329
114,Wiltshire,South West,14000,13000,850,4%,613,89%,290,1100,700,10000,2000,0.402249965,0.365491223,0.232258812,0.195559917,0.18549455,4.865174045,5.168787304,60000,0.382803819,0.399634242,0.567909068,0.333600725,4100,0.33125035,8.08711288,0.693999658,0.083819791,1100,0.074857429,0.863808966,43.24106256,0.114938207,0.252734386,0.83326901,0.082035803,0.084695187,0.84586414,0.525408786,0.527590602,0.104612951,9.022456744,8.98543731,8.247040083,8.153112596,8.85236275,8.978998695,E3902,E06000054,Wiltshire UA,UA,21928,163590,185518,21122,4382,25504,160014
115,Windsor & Maidenhead,South East,3300,3100,175,0%,7,94%,61,250,175,2400,425,0.525230003,0.372337641,0.102432356,0.181416887,0.225662962,3.556659363,4.800241288,11000,0.303933719,0.380447713,0.682601235,0.191236297,600,0.302660805,10.01797688,0.742584496,0.092877057,300,0.086517489,0.827001192,43.94011368,0.077039163,0.223407109,0.653963607,0.153541895,0.192494498,0.771298639,0.590651892,0.493063744,0.216317179,9.026969381,9.219536233,8.489184313,8.374979322,8.969190901,9.687891049,E0305,E06000040,Windsor & Maidenhead UA,UA,652,55613,56265,7073,12070,19143,37122
116,Wirral,North West,9100,8100,950,2%,158,88%,164,700,475,6900,1100,0.597434043,0.314160598,0.088405359,0.252424415,0.214671787,4.727596517,5.507111486,36000,0.279833284,0.341105224,0.71185682,0.242359283,1800,0.301673567,9.72355771,0.752611334,0.04647127,375,0.070555475,0.78499138,43.06772374,0.097081111,0.24024147,0.949983153,0.018883749,0.031133099,0.927907989,0.588423805,0.574447303,0.202674419,8.61539296,8.625317525,7.963559829,7.96388592,8.529114665,8.843358886,E4305,E08000015,Wirral,MD,10117,130794,140911,19398,38588,57986,82925
117,Wokingham,South East,4000,3700,325,3%,108,89%,82,375,175,3000,450,0.534289861,0.37216846,0.093541679,0.204507178,0.225662962,4.437907911,4.800241288,15500,0.423277274,0.380447713,0.696654952,0.275670788,950,0.302660805,7.785057484,0.671051278,0.056566796,200,0.086517489,0.771183412,43.41498205,0.089084864,0.225957295,0.668148662,0.124371145,0.207480193,0.771298639,0.401346251,0.493063744,0.155019197,9.454504348,9.219536233,8.598748332,8.374979322,9.127074689,9.687891049,E0306,E06000041,Wokingham UA,UA,5128.291668,54176.32112,59304.61279,6206,5343.327778,11549.32778,47755.28501
118,Wolverhampton,West Midlands,7500,7000,550,8%,566,85%,139,550,300,5700,1000,0.493193019,0.414394445,0.092412536,0.248148866,0.228483853,3.551035386,4.929270438,24000,0.370190954,0.356604118,0.619174898,0.227812992,1500,0.295452131,8.525425212,0.769602801,0.049658611,350,0.066944312,0.875679514,43.087513,0.078956392,0.21016205,0.87654034,0.015034325,0.108425334,0.871078776,0.62910883,0.572395799,0.139059261,8.792752409,8.844568308,8.0362622,8.011474827,10.25063449,9.473416934,E4607,E08000031,Wolverhampton,MD,21077,117263,138340,129,67892,68021,70319
119,York,Yorkshire and the Humber,5100,4800,325,9%,456,85%,72,375,300,3900,600,0.44081782,0.472118248,0.087063932,0.187993878,0.196084667,6.021728602,6.029229693,27000,0.436672244,0.366197886,0.732174644,0.363349771,1700,0.311660638,7.686991566,0.717840745,0.045936767,225,0.055513416,0.825165111,43.20831254,0.114662874,0.259126865,0.898109331,0.045688393,0.056202276,0.925473709,0.565214769,0.57061915,0.086591888,9.502200089,8.783693196,8.354132941,7.992481685,8.481189609,9.278567484,E2701,E06000014,York UA,UA,14771,62169,76940,23916,256,24172,52768
